equipo,victorias_esta_temp,empates_esta_temp,derrotas_esta_temp,porcentaje_victorias_esta_temp,porcentaje_empates_esta_temp,porcentaje_derrotas_esta_temp
Copenhague,2.0,2.0,2.0,33.3,33.3,33.3
Leipzig,4.0,0.0,2.0,66.7,0.0,33.3
PSG,2.0,2.0,2.0,33.3,33.3,33.3
Lazio,3.0,1.0,2.0,50.0,16.7,33.3
PSV,2.0,3.0,1.0,33.3,50.0,16.7
Inter,3.0,3.0,0.0,50.0,50.0,0.0
Porto,4.0,0.0,2.0,66.7,0.0,33.3
Napoles,3.0,1.0,2.0,50.0,16.7,33.3
Bayern,5.0,1.0,0.0,83.3,16.7,0.0
Real Sociedad,3.0,3.0,0.0,50.0,50.0,0.0
Manchester City,6.0,0.0,0.0,100.0,0.0,0.0
Barcelona,4.0,0.0,2.0,66.7,0.0,33.3
Arsenal,4.0,1.0,1.0,66.7,16.7,16.7
Atletico Madrid,4.0,2.0,0.0,66.7,33.3,0.0
Dortmund,3.0,2.0,1.0,50.0,33.3,16.7
Real Madrid,6.0,0.0,0.0,100.0,0.0,0.0
