equipo,victorias_ult10_temp,empates_ult10_temp,derrotas_ult10_temp,porcentaje_victorias_ult10_temp,porcentaje_empates_ult10_temp,porcentaje_derrotas_ult10_temp
Copenhague,2.0,2.0,2.0,33.3,33.3,33.3
Leipzig,22.0,5.0,19.0,47.8,10.9,41.3
PSG,30.0,8.0,16.0,55.6,14.8,29.6
Lazio,5.0,5.0,4.0,35.7,35.7,28.6
PSV,2.0,3.0,1.0,33.3,50.0,16.7
Inter,17.0,11.0,11.0,43.6,28.2,28.2
Porto,17.0,5.0,15.0,45.9,13.5,40.5
Napoles,10.0,2.0,4.0,62.5,12.5,25.0
Bayern,47.0,7.0,5.0,79.7,11.9,8.5
Real Sociedad,3.0,3.0,0.0,50.0,50.0,0.0
Manchester City,43.0,10.0,10.0,68.3,15.9,15.9
Barcelona,24.0,9.0,12.0,53.3,20.0,26.7
Arsenal,4.0,1.0,1.0,66.7,16.7,16.7
Atletico Madrid,14.0,12.0,11.0,37.8,32.4,29.7
Dortmund,18.0,10.0,15.0,41.9,23.3,34.9
Real Madrid,41.0,9.0,14.0,64.1,14.1,21.9
